               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047288,            0.026395,           0.0040806,             0.48269,             0.51842,             0.44443,             0.18928,            0.047241,            0.024244,           0.0038535,             0.00895,             0.00895,             0.00895
                  37,            0.047589,              0.0268,           0.0041339,             0.52764,             0.47917,             0.45512,             0.18673,            0.046434,            0.024393,           0.0038945,             0.00892,             0.00892,             0.00892
                  38,            0.047113,            0.026435,           0.0040011,             0.49958,             0.47693,             0.41561,             0.17205,            0.047359,            0.024814,           0.0038833,             0.00889,             0.00889,             0.00889
                  39,            0.047038,            0.026317,           0.0040133,             0.51096,             0.48965,             0.44522,             0.18372,            0.047127,            0.024085,           0.0039566,             0.00886,             0.00886,             0.00886
                  40,            0.046699,            0.026098,           0.0039616,             0.48977,             0.48027,             0.43081,             0.16701,             0.04796,            0.024622,           0.0037284,             0.00883,             0.00883,             0.00883
                  41,            0.046387,            0.025929,           0.0038565,             0.49473,             0.45055,             0.42567,             0.17941,            0.047322,            0.024582,           0.0039783,              0.0088,              0.0088,              0.0088
                  42,            0.046275,            0.026322,           0.0038663,             0.53086,             0.50963,             0.44371,             0.18182,            0.047356,            0.024812,           0.0041932,             0.00877,             0.00877,             0.00877
                  43,            0.046528,            0.025854,           0.0040526,             0.56826,             0.43856,             0.43444,             0.17788,            0.047372,            0.025282,           0.0039259,             0.00874,             0.00874,             0.00874
                  44,            0.045961,            0.025564,           0.0037475,             0.50155,             0.49755,             0.44098,             0.18943,            0.047499,            0.024855,           0.0039239,             0.00871,             0.00871,             0.00871
                  45,            0.045559,            0.025609,            0.003653,             0.50656,             0.45881,             0.42881,             0.17776,            0.047536,            0.025497,            0.004139,             0.00868,             0.00868,             0.00868
                  46,            0.045383,            0.025717,           0.0036211,             0.51085,             0.47179,             0.43117,             0.17951,            0.047518,            0.025209,           0.0038931,             0.00865,             0.00865,             0.00865
                  47,            0.045876,            0.025525,           0.0038309,             0.48795,             0.44319,             0.42445,              0.1714,            0.047968,            0.025301,           0.0038239,             0.00862,             0.00862,             0.00862
                  48,            0.045263,            0.025652,           0.0035168,             0.46829,             0.46302,             0.40287,             0.16639,            0.047426,            0.025873,           0.0042519,             0.00859,             0.00859,             0.00859
                  49,            0.045385,            0.025838,            0.003695,             0.50519,             0.50584,             0.44719,             0.18354,            0.047434,            0.025192,           0.0038738,             0.00856,             0.00856,             0.00856
                  50,            0.044612,            0.025262,           0.0034803,             0.47702,               0.524,             0.43097,             0.18004,             0.04745,            0.025662,           0.0039766,             0.00853,             0.00853,             0.00853
                  51,            0.044787,            0.025508,           0.0035165,             0.54073,             0.46098,             0.44438,             0.18201,            0.047724,            0.025703,           0.0038282,              0.0085,              0.0085,              0.0085
                  52,            0.044584,            0.025218,           0.0035152,              0.5015,             0.50949,             0.45168,              0.1842,            0.047948,            0.025531,           0.0038436,             0.00847,             0.00847,             0.00847
                  53,            0.044576,            0.025063,           0.0033261,             0.46123,             0.54682,             0.44993,             0.18782,            0.047779,            0.025577,           0.0038881,             0.00844,             0.00844,             0.00844
                  54,            0.044398,             0.02456,           0.0034648,             0.49729,             0.47992,             0.43805,             0.17889,            0.047986,            0.026114,           0.0038631,             0.00841,             0.00841,             0.00841
                  55,            0.043805,            0.024679,           0.0033645,             0.48805,             0.47697,             0.43159,             0.17658,            0.047955,            0.026386,           0.0038885,             0.00838,             0.00838,             0.00838
                  56,            0.043723,            0.024764,           0.0033086,             0.50784,             0.52852,              0.4664,             0.18954,            0.047587,            0.026219,           0.0041688,             0.00835,             0.00835,             0.00835
                  57,            0.044143,            0.024761,            0.003413,             0.53663,             0.54626,             0.47174,             0.19707,            0.047342,            0.026205,           0.0038793,             0.00832,             0.00832,             0.00832
                  58,            0.043826,            0.024532,            0.003348,             0.53527,             0.49974,             0.46017,             0.19027,            0.047727,            0.025887,           0.0039425,             0.00829,             0.00829,             0.00829
                  59,            0.043155,            0.024076,           0.0032164,              0.5039,             0.50764,             0.44087,             0.18763,            0.047711,            0.026225,           0.0038572,             0.00826,             0.00826,             0.00826
                  60,            0.043164,            0.024476,           0.0032129,             0.50206,             0.50716,             0.45641,             0.19576,            0.047747,            0.026532,           0.0039858,             0.00823,             0.00823,             0.00823
                  61,            0.043216,            0.024228,           0.0031739,             0.49952,             0.53276,             0.46804,             0.19227,            0.047888,            0.026509,           0.0039098,              0.0082,              0.0082,              0.0082
                  62,            0.042589,            0.024204,            0.003148,             0.51029,             0.48105,             0.44595,             0.18921,            0.047685,            0.026806,           0.0039934,             0.00817,             0.00817,             0.00817
                  63,             0.04299,             0.02434,           0.0032799,             0.51822,              0.5163,             0.47232,             0.20326,            0.047667,            0.026935,           0.0039545,             0.00814,             0.00814,             0.00814
                  64,            0.042348,            0.024046,           0.0029903,             0.52106,             0.49351,             0.44876,             0.19269,            0.047846,            0.027113,           0.0039491,             0.00811,             0.00811,             0.00811
                  65,            0.042535,            0.023999,            0.003165,             0.51067,             0.49542,             0.45255,             0.18935,               0.048,            0.027128,            0.003915,             0.00808,             0.00808,             0.00808
                  66,            0.042385,            0.024318,           0.0031419,             0.52152,             0.49623,             0.44993,             0.19088,            0.047884,            0.026813,           0.0039256,             0.00805,             0.00805,             0.00805
                  67,            0.041715,            0.023863,           0.0029686,             0.52164,             0.49547,             0.45906,             0.18678,            0.048108,            0.027404,            0.003966,             0.00802,             0.00802,             0.00802
                  68,            0.041945,            0.023592,           0.0030003,              0.4858,             0.49346,             0.43286,             0.18593,            0.048317,            0.027466,           0.0038971,             0.00799,             0.00799,             0.00799
                  69,            0.041888,            0.023671,           0.0028861,             0.51485,             0.52736,             0.43948,             0.18977,            0.048434,            0.027486,           0.0040011,             0.00796,             0.00796,             0.00796
                  70,            0.041809,            0.023702,           0.0029061,             0.51717,             0.51735,             0.44396,             0.19006,            0.048115,            0.027643,           0.0039433,             0.00793,             0.00793,             0.00793
                  71,            0.041563,            0.023724,           0.0029933,             0.53198,             0.51992,             0.44452,             0.18883,            0.047849,            0.027609,           0.0040166,              0.0079,              0.0079,              0.0079
                  72,            0.041193,            0.023031,           0.0028839,             0.56427,             0.49716,             0.44856,             0.18988,            0.047996,            0.027935,           0.0041532,             0.00787,             0.00787,             0.00787
                  73,            0.041168,            0.023203,           0.0030768,             0.52587,             0.48724,             0.44875,             0.19083,            0.048208,            0.028091,           0.0042074,             0.00784,             0.00784,             0.00784
                  74,             0.04106,            0.022868,           0.0029622,             0.51694,             0.50491,             0.45158,             0.18981,            0.048162,            0.028167,           0.0040909,             0.00781,             0.00781,             0.00781
                  75,            0.041216,            0.022846,           0.0030019,             0.54756,             0.49161,              0.4428,               0.188,            0.048491,              0.0283,           0.0040634,             0.00778,             0.00778,             0.00778
                  76,             0.04096,             0.02306,           0.0028602,             0.51768,             0.50304,             0.44108,             0.19126,            0.048624,            0.028153,           0.0041404,             0.00775,             0.00775,             0.00775
                  77,            0.040622,            0.022796,           0.0028444,             0.52112,             0.49112,             0.43305,             0.18227,            0.048456,            0.028389,           0.0040613,             0.00772,             0.00772,             0.00772
                  78,            0.040746,            0.022896,           0.0029437,             0.52898,             0.49634,             0.42997,             0.17918,            0.048233,            0.028406,           0.0040212,             0.00769,             0.00769,             0.00769
                  79,            0.040324,            0.022986,           0.0027672,              0.5366,             0.54838,             0.45018,             0.19043,            0.048052,            0.028119,           0.0040836,             0.00766,             0.00766,             0.00766
                  80,            0.040114,            0.022608,           0.0028242,             0.57063,              0.5153,             0.45085,             0.18845,            0.048323,            0.028241,            0.004169,             0.00763,             0.00763,             0.00763
                  81,            0.039951,             0.02276,           0.0027065,             0.55775,             0.52796,             0.46897,              0.1955,             0.04853,             0.02851,           0.0041197,              0.0076,              0.0076,              0.0076
                  82,            0.039851,            0.022559,           0.0027312,             0.56049,             0.54084,             0.47382,             0.19432,            0.048705,            0.028787,           0.0041641,             0.00757,             0.00757,             0.00757
                  83,            0.039759,            0.022986,           0.0027412,             0.57026,             0.51291,             0.47623,              0.1936,            0.048567,             0.02905,           0.0042171,             0.00754,             0.00754,             0.00754
                  84,            0.039814,            0.022219,           0.0026568,             0.53684,             0.52775,              0.4709,             0.19624,            0.048586,            0.029089,           0.0042322,             0.00751,             0.00751,             0.00751
                  85,            0.039658,            0.022018,           0.0026396,             0.54389,             0.52045,             0.44684,              0.1899,            0.048668,            0.029271,           0.0043488,             0.00748,             0.00748,             0.00748
                  86,            0.039385,            0.022268,           0.0026748,             0.52839,             0.51447,             0.44421,             0.18807,             0.04859,            0.029228,           0.0042597,             0.00745,             0.00745,             0.00745
                  87,            0.039185,            0.021862,            0.002745,             0.56599,             0.47034,             0.45047,              0.1893,            0.048495,            0.029402,            0.004328,             0.00742,             0.00742,             0.00742
                  88,             0.03922,            0.022228,           0.0027301,              0.5472,             0.50008,             0.44706,             0.19123,            0.048641,            0.029528,           0.0042653,             0.00739,             0.00739,             0.00739
                  89,            0.039342,            0.021992,           0.0026618,             0.51227,             0.53589,                0.44,             0.19226,            0.048708,            0.029934,           0.0041824,             0.00736,             0.00736,             0.00736
                  90,            0.039027,            0.022068,           0.0026001,             0.54813,             0.51959,             0.46186,              0.2011,            0.048737,            0.029829,           0.0041764,             0.00733,             0.00733,             0.00733
                  91,            0.038477,            0.021958,           0.0025485,             0.59095,             0.49823,             0.47253,             0.20855,            0.048751,             0.02978,           0.0042011,              0.0073,              0.0073,              0.0073
                  92,            0.038601,            0.021823,           0.0025776,             0.61293,               0.508,             0.46608,             0.20344,            0.048914,             0.02977,           0.0042613,             0.00727,             0.00727,             0.00727
                  93,            0.038648,            0.021767,           0.0026051,             0.59421,             0.47818,             0.45684,             0.19919,            0.048782,            0.030006,           0.0041829,             0.00724,             0.00724,             0.00724
                  94,            0.038722,            0.021775,           0.0025927,             0.54612,             0.51692,             0.46146,              0.2014,            0.048646,            0.030123,           0.0041521,             0.00721,             0.00721,             0.00721
                  95,            0.038443,            0.021665,            0.002575,             0.55542,             0.52097,             0.46346,             0.19751,            0.048821,            0.030176,           0.0041104,             0.00718,             0.00718,             0.00718
                  96,            0.038265,             0.02165,           0.0024991,             0.55391,             0.54382,             0.46937,             0.20005,            0.048925,            0.030292,           0.0041427,             0.00715,             0.00715,             0.00715
                  97,            0.038081,            0.021306,           0.0026315,             0.54237,             0.51899,             0.46258,             0.19962,            0.048896,            0.030286,           0.0041946,             0.00712,             0.00712,             0.00712
                  98,            0.038036,            0.021379,            0.002414,              0.5591,             0.52885,              0.4702,             0.19894,            0.049068,            0.030361,            0.004215,             0.00709,             0.00709,             0.00709
                  99,            0.038088,             0.02126,           0.0025007,             0.58465,             0.51139,             0.45776,             0.19633,            0.049205,            0.030605,           0.0042121,             0.00706,             0.00706,             0.00706
                 100,             0.03774,            0.021118,           0.0025303,             0.57759,             0.52364,             0.46055,             0.19677,            0.049295,            0.030817,           0.0042199,             0.00703,             0.00703,             0.00703
                 101,            0.038298,            0.021377,           0.0025239,             0.57069,             0.50457,             0.45818,              0.1976,            0.049312,            0.030905,           0.0042009,               0.007,               0.007,               0.007
